Dialect,N,WER_std,CER_std,WER_bnnorm,CER_bnnorm
comilla,32.0,43.4,16.9,43.1,16.4
tangail,127.0,45.3,17.7,45.2,17.3
habiganj,117.0,65.0,31.6,64.9,31.1
narail,186.0,70.3,38.5,70.3,38.0
narsingdi,137.0,71.5,38.5,71.5,38.0
barishal,101.0,74.4,44.4,74.4,43.8
sylhet,762.0,74.9,43.7,74.9,43.2
rangpur,130.0,80.8,48.6,80.8,48.2
noakhali,28.0,82.2,54.4,82.0,53.9
sandwip,131.0,85.0,54.6,85.0,54.2
kishoreganj,205.0,87.3,59.2,87.3,58.8
chittagong,176.0,87.4,53.6,87.3,52.8
MEAN,,72.3,41.8,72.2,41.3
STD,,14.2,13.4,14.2,13.4
