dialect,N,sub_pct,ins_pct,del_pct,wer,substitutions,insertions,deletions
barishal,101,45.0,2.3,27.0,74.4,2092,109,1253
chittagong,176,50.3,0.9,36.2,87.4,3209,60,2308
comilla,32,32.6,3.0,7.9,43.4,472,43,114
habiganj,117,43.5,7.1,14.5,65.0,1806,294,601
kishoreganj,205,43.9,1.1,42.2,87.3,3078,80,2960
narail,186,45.5,2.8,22.1,70.3,3238,196,1577
narsingdi,137,43.7,1.5,26.3,71.5,2429,84,1461
noakhali,28,42.2,1.3,38.7,82.2,296,9,271
rangpur,130,47.7,1.4,31.8,80.8,2121,62,1415
sandwip,131,45.0,0.8,39.2,85.0,2160,39,1879
sylhet,762,48.7,8.3,17.9,74.9,13516,2316,4970
tangail,127,32.0,3.0,10.2,45.3,1515,144,482
